Categoria;Nome Piatto;Nome Piatto TH;Descrizione;Descrizione TH;Prezzo Base (THB);Varianti (Prezzi);Extra Opzioni (Prezzi)
"Traditional Italian Pizza";"PIZZA MARINARA Vegan";"พิซซ่ามารีนาร่า มังสวิรัติ";"Tomato Sauce, Garlic, Olive Oil";"ซอสมะเขือเทศ, กระเทียม, น้ำมันมะกอก";"170";"12"": 170฿, 8"": 100฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA MARGHERITA";"พิซซ่ามาร์การิต้า";"Tomato Sauce, Olive Oil, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ชีสมอซซาเรลล่า";"190";"12"": 190฿, 8"": 120฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SWEET BELL PEPPER Vegan";"พิซซ่าพริกหวานมังสวิรัติ";"Tomato Sauce, Olive Oil, Sweet Bell Peppers";"ซอสมะเขือเทศ, น้ำมันมะกอก, พริกหวาน";"230";"12"": 230฿, 8"": 130฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"CALZONE";"คัลโซเน่";"Tomato Sauce, Olive Oil, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ชีสมอสซาเรลล่า";"210";"12"": 210฿, 12"" (Ham & Cheese): 250฿, 8"": 140฿, 8"" (Ham & Cheese): 165฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA BISMARK";"พิซซ่าบิสมาร์ก";"Tomato Sauce, Olive Oil, Egg, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ไข่, ชีสมอซซาเรลล่า";"240";"12"": 240฿, 8"": 150฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA HAM & CHEESE";"พิซซ่าแฮมและชีส";"Tomato Sauce, Olive Oil, Ham, Egg, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, แฮม, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 8"": 165฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA MUSHROOMS & TOFU Vegan";"พิซซ่าเห็ดและเต้าหู้มังสวิรัติ";"Tomato Sauce, Mushrooms, Tofu";"ซอสมะเขือเทศ, น้ำมันมะกอก, เห็ด, เต้าหู้";"230";"12"": 230฿, 8"": 150฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA NUTELLA";"พิซซ่านูเทลล่า";"Nutella";"นูเทลล่า";"250";"12"": 250฿, 8"": 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA VEGETABLES";"พิซซ่าผัก";"Tomato Sauce, Olive Oil, Vegetables, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ผัก, ชีสมอซซาเรลล่า";"230";"12"": 230฿, 8"": 150฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA ARTICHOKES";"พิซซ่าอาร์ติโชค";"Tomato Sauce, Olive Oil, Artichokes, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, อาร์ติโชค, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 8"": 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA BACON";"พิซซ่าเบคอน";"Tomato Sauce, Olive Oil, Bacon, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, เบคอน, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 12"" (Bismark): 270฿, 8"": 160฿, 8"" (Bismark): 170฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA PINEAPPLE";"พิซซ่าสับปะรด";"Tomato Sauce, Olive Oil, Pineapple, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, สับปะรด, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 8"": 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SWEET BELL PEPPER CHEESE";"พิซซ่าพริกหวานและชีส";"Tomato Sauce, Olive Oil, Sweet Bell Peppers, Mozzarella";"ซอสมะเขือเทศ, น้ำมันมะกอก, พริกหวาน, ชีสมอซซาเรลล่า";"270";"12"": 270฿, 8"": 180฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA WURSTEL";"พิซซ่าใส้กรอกเยอรมัน";"Tomato Sauce, German Sausage, Mozzarella Cheese";"ซอสมะเขือเทศ, ไส้กรอกเยอรมัน, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 8"": 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"CALZONE HAM & CHEESE";"คัลโซเน่แฮมและชีส";"Tomato Sauce, Ham, Mozzarella Cheese";"ซอสมะเขือเทศ, แฮม, ชีสมอสซาเรลล่า";"250";"12"": 250฿, 8"": 165฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
"Traditional Italian Pizza";"PIZZA SALAME";"พิซซ่าสลามี";"Tomato Sauce, Olive Oil, Salame, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, สลามี, ชีสมอซซาเรลล่า";"250";"12"": 250฿, 12"" (Gorgonzola): 320฿, 12"" (Calabrese): 250฿, 8"": 160฿, 8"" (Gorgonzola): 210฿, 8"" (Calabrese): 160฿";"1 Egg Extra: +20฿, Anchovies Extra: +50฿, Artichoke Extra: +50฿, Bacon Extra: +50฿, Black Olives Extra: +40฿, Capers Extra: +40฿, Chicken Ham Extra: +50฿, Chicken Salame Extra: +50฿, Extra "" Mozzarella Cheese: +50฿, Fresh Tomato Extra: +20฿, Gorgonzola Extra: +50฿, Ham Extra: +50฿, Hotdog Extra: +50฿, Mushrooms Extra: +30฿, Onion/Garlic Extra: +20฿, Parmesan cheese 🧀: +20฿, Pesto Sauce Extra: +60฿, Pineapple Extra: +30฿, Salame Calabrese Extra: +50฿, Salame Extra: +50฿, Sausage Extra: +50฿, Sweet Bell Peppers Extra: +50฿, Tofu Extra: +50฿, Tuna Extra: +50฿, Vegetables Extra: +50฿"
